sep=	
Project Name:	C:\SharedFolder\CControl_Lite\PLC\CControl_Lite.plcprj
Export Date/Time:	2026/06/18 13:59:45
RowType	Name	Type	ElementType	Dimensions	InitialValue	RetentiveEnabled	FolderName	BindType	BindObject	BindField	BindIsArray	BindValue	BindDirection	BindConverter	HasInputRange	MinValue	MaxValue	Target	Source	AddressEnabled	Address	HasBinding	VariableLength	NumberOfBytes	StringEncode	HasAlarm	AlarmType	HiHiThresholdState	HiHiThreshold	HiHiThresholdValue	HiHiThresholdDeadBand	HiHiThresholdAlarmGroup	HiHiThresholdMessageMode	HiHiThresholdMessage	HiHiThresholdSeverity	HiHiThresholdParameter	HiThresholdState	HiThreshold	HiThresholdValue	HiThresholdDeadBand	HiThresholdAlarmGroup	HiThresholdMessageMode	HiThresholdMessage	HiThresholdSeverity	HiThresholdParameter	LoThresholdState	LoThreshold	LoThresholdValue	LoThresholdDeadBand	LoThresholdAlarmGroup	LoThresholdMessageMode	LoThresholdMessage	LoThresholdSeverity	LoThresholdParameter	LoloThresholdState	LoloThreshold	LoloThresholdValue	LoloThresholdDeadBand	LoloThresholdAlarmGroup	LoloThresholdMessageMode	LoloThresholdMessage	LoloThresholdSeverity	LoloThresholdParameter	ThresholdState	ThresholdType	ThresholdCondition	ThresholdAlarmGroup	ThresholdMessageMode	ThresholdMessage	ThresholdSeverity	ThresholdParameter	DataSharing	LoggingGroup	Comments	
Variable	CControl_Lite_HMI_TEST_doFrgBox1	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="408961,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_HMI_TEST_doFrgBox2	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="408962,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_HMI_TEST_doFrgAbluftventilator	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="408963,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_HMI_TEST_diBox1Offen	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="408964,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_HMI_TEST_diBox1Geschl	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="408965,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_HMI_TEST_diBox2Offen	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="408966,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_HMI_TEST_diBox2Geschl	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="408967,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_HMI_TEST_diBetriebLuftaufber	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="408968,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_HMI_TEST_diBetriebVentilator	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="408969,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
Variable	CControl_Lite_HMI_TEST_di3	BOOL				False												HMIDT542+HMIG3U	CControl_Lite	False	="408970,00"	False	False										Direct									Direct									Direct									Direct									Direct			None		
